start,end,verdict
48240,48480,0
48480,48720,0
48720,48960,0
48960,49200,0
49200,49440,0
49440,49680,0
49680,49920,0
49920,50160,0
50160,50400,0
50400,50640,0
50640,50880,0
50880,51120,0
51120,51360,0
51360,51600,0
51600,51840,0
51840,52080,0
52080,52320,0
52320,52560,0
52560,52800,0
52800,53040,0
53040,53280,0
53280,53520,0
53520,53760,0
53760,54000,0
54000,54240,0
54240,54480,0
54480,54720,0
54720,54960,0
54960,55200,0
55200,55440,0
55440,55680,0
55680,55920,0
55920,56160,0
56160,56400,0
56400,56640,0
56640,56880,0
56880,57120,0
57120,57360,0
57360,57600,0
57600,57840,1
57840,58080,1
58080,58320,0
58320,58560,0
58560,58800,0
58800,59040,0
59040,59280,1
59280,59520,0
59520,59760,0
59760,60000,0
60000,60240,0
60240,60480,0
60480,60720,0
60720,60960,0
60960,61200,0
61200,61440,0
61440,61680,0
61680,61920,0
61920,62160,0
62160,62400,0
62400,62640,0
62640,62880,0
62880,63120,0
63120,63360,1
63360,63600,0
63600,63840,0
63840,64080,0
64080,64320,0
64320,64560,0
64560,64800,0
64800,65040,0
65040,65280,0
65280,65520,0
65520,65760,0
65760,66000,0
66000,66240,0
66240,66480,0
66480,66720,0
66720,66960,0
66960,67200,0
67200,67440,0
67440,67680,0
67680,67920,0
67920,68160,0
68160,68400,0
68400,68640,0
68640,68880,0
68880,69120,0
69120,69360,0
69360,69600,0
69600,69840,0
69840,70080,0
70080,70320,0
70320,70560,0
70560,70800,0
70800,71040,0
71040,71280,0
71280,71520,0
71520,71760,0
71760,72000,0
72000,72240,0
72240,72480,0
72480,72720,0
72720,72960,0
72960,73200,0
73200,73440,0
73440,73680,0
73680,73920,0
73920,74160,0
74160,74400,0
74400,74640,0
74640,74880,0
74880,75120,0
75120,75360,0
75360,75600,0
75600,75840,0
75840,76080,0
76080,76320,0
76320,76560,0
76560,76800,0
76800,77040,0
77040,77280,0
77280,77520,0
77520,77760,0
77760,78000,0
78000,78240,0
78240,78480,0
78480,78720,0
78720,78960,0
78960,79200,0
79200,79440,0
79440,79680,0
79680,79920,0
79920,80160,0
80160,80400,0
80400,80640,0
80640,80880,0
80880,81120,0
81120,81360,0
81360,81600,0
81600,81840,0
81840,82080,0
82080,82320,0
82320,82560,0
82560,82800,0
82800,83040,0
83040,83280,0
83280,83520,0
83520,83760,0
83760,84000,0
84000,84240,0
84240,84480,0
84480,84720,0
84720,84960,0
84960,85200,0
85200,85440,0
85440,85680,0
85680,85920,0
85920,86160,0
86160,86400,0
86400,86640,0
86640,86880,0
86880,87120,0
87120,87360,0
87360,87600,0
87600,87840,0
87840,88080,0
88080,88320,0
88320,88560,0
88560,88800,0
88800,89040,0
89040,89280,0
89280,89520,0
89520,89760,0
89760,90000,0
90000,90240,0
90240,90480,0
90480,90720,0
90720,90960,0
90960,91200,0
91200,91440,0
91440,91680,0
91680,91920,0
91920,92160,0
92160,92400,0
92400,92640,0
92640,92880,0
92880,93120,0
93120,93360,0
93360,93600,0
93600,93840,0
93840,94080,0
94080,94320,0
94320,94560,0
94560,94800,0
94800,95040,0
95040,95280,0
95280,95520,0
95520,95760,0
95760,96000,0
96000,96240,0
96240,96480,0
96480,96720,0
96720,96960,0
96960,97200,0
97200,97440,0
97440,97680,0
97680,97920,0
97920,98160,0
98160,98400,0
98400,98640,0
98640,98880,0
98880,99120,0
99120,99360,0
99360,99600,0
99600,99840,0
99840,100080,0
100080,100320,0
100320,100560,0
100560,100800,0
100800,101040,0
101040,101280,0
101280,101520,0
101520,101760,0
101760,102000,0
102000,102240,0
102240,102480,0
102480,102720,0
102720,102960,0
102960,103200,0
103200,103440,0
103440,103680,0
103680,103920,0
103920,104160,0
104160,104400,0
104400,104640,0
104640,104880,0
104880,105120,0
105120,105360,0
105360,105600,0
105600,105840,0
105840,106080,0
106080,106320,0
106320,106560,0
106560,106800,0
106800,107040,0
107040,107280,0
107280,107520,0
107520,107760,0
107760,108000,0
108000,108240,0
108240,108480,0
108480,108720,0
108720,108960,0
108960,109200,0
109200,109440,0
109440,109680,0
109680,109920,0
109920,110160,0
110160,110400,0
110400,110640,0
110640,110880,0
110880,111120,0
111120,111360,0
111360,111600,0
111600,111840,0
111840,112080,0
112080,112320,0
112320,112560,0
112560,112800,0
112800,113040,0
113040,113280,0
113280,113520,0
113520,113760,0
113760,114000,0
114000,114240,0
114240,114480,0
114480,114720,0
114720,114960,0
114960,115200,0
115200,115440,0
115440,115680,0
115680,115920,0
115920,116160,0
116160,116400,0
116400,116640,0
116640,116880,0
116880,117120,0
117120,117360,0
117360,117600,0
117600,117840,0
117840,118080,0
118080,118320,0
118320,118560,0
118560,118800,0
118800,119040,0
119040,119280,0
119280,119520,0
119520,119760,0
119760,120000,0
120000,120240,0
120240,120480,0
120480,120720,0
120720,120960,0
120960,121200,0
121200,121440,0
121440,121680,0
121680,121920,0
121920,122160,1
122160,122400,1
122400,122640,1
122640,122880,1
122880,123120,1
123120,123360,1
123360,123600,1
123600,123840,1
123840,124080,1
124080,124320,1
124320,124560,1
124560,124800,1
124800,125040,1
125040,125280,0
